zip,kmtoSMM,milesToSMM,hoursDriveToSMM,city,state,latitude,longitude
55430,27.526,17.1046564,0.377777777777778,Minneapolis,MN,45.059265,-93.29977
55431,29.417,18.2797238,0.3875,Minneapolis,MN,44.829564,-93.30982
55432,29.631,18.4127034,0.397777777777778,Minneapolis,MN,45.095674,-93.25336
55433,39.672,24.6521808,0.491388888888889,Minneapolis,MN,45.163848,-93.3195
55434,34.998,21.7477572,0.465277777777778,Minneapolis,MN,45.164248,-93.2531
55435,29.8,18.51772,0.412222222222222,Minneapolis,MN,44.875614,-93.33487
55436,30.43,18.909202,0.433333333333333,Minneapolis,MN,44.903864,-93.37056
55437,33.088,20.5608832,0.425555555555556,Minneapolis,MN,44.822764,-93.34422
55438,34.732,21.5824648,0.464722222222222,Minneapolis,MN,44.8257,-93.38212
55439,32.473,20.1787222,0.445555555555556,Minneapolis,MN,44.875997,-93.37021
55441,30.944,19.2286016,0.421944444444444,Minneapolis,MN,45.001997,-93.42421
55442,36.594,22.7395116,0.489722222222222,Minneapolis,MN,45.046701,-93.42892
55443,40.333,25.0629262,0.510833333333333,Minneapolis,MN,45.108581,-93.33988
55444,32.299,20.0705986,0.41,Minneapolis,MN,45.106065,-93.30461
55445,39.913,24.8019382,0.510833333333333,Minneapolis,MN,45.112742,-93.3789
55446,42.553,26.4424342,0.591388888888889,Minneapolis,MN,45.039312,-93.47988
55447,37.435,23.262109,0.511111111111111,Minneapolis,MN,45.003363,-93.49262
55448,39.652,24.6397528,0.504166666666667,Minneapolis,MN,45.186232,-93.29635
55449,34.262,21.2904068,0.442777777777778,Minneapolis,MN,45.168287,-93.20001
55454,12.495,7.764393,0.203888888888889,Minneapolis,MN,44.969465,-93.24327
55455,12.956,8.0508584,0.250833333333333,Minneapolis,MN,44.971965,-93.23588
55458,15.331,9.5266834,0.269444444444444,Minneapolis,MN,45.015914,-93.47188
55604,NA,NA,NA,Grand Marais,MN,47.939037,-90.54659
55612,406.509,252.6046926,4.18305555555556,Lutsen,MN,47.757804,-90.63836
55614,337.433,209.6808662,3.32055555555556,Silver Bay,MN,47.314743,-91.25765
55616,305.131,189.6084034,3.02805555555556,Two Harbors,MN,47.077723,-91.66464
55704,154.263,95.8590282,1.49027777777778,Askov,MN,46.22572,-92.76706
55705,319.736,198.6839504,3.02944444444444,Aurora,MN,47.45225,-92.24109
55706,371.714,230.9830796,3.85305555555556,Babbitt,MN,47.688083,-91.91856
55709,337.068,209.4540552,3.48444444444444,Bovey,MN,47.372262,-93.38998
55718,206.353,128.2277542,1.92861111111111,Carlton,MN,46.649697,-92.48477
55719,336.866,209.3285324,3.29972222222222,Chisholm,MN,47.509833,-92.87637
55720,226.99,141.051586,2.17027777777778,Cloquet,MN,46.727077,-92.48612
55721,317.128,197.0633392,3.26861111111111,Cohasset,MN,47.247648,-93.66491
55723,379.857,236.0431398,3.67194444444444,Cook,MN,47.854987,-92.77077
55731,409.321,254.3520694,4.21638888888889,Ely,MN,47.913365,-91.91712
55732,338.579,210.3929906,3.31527777777778,Embarrass,MN,47.624206,-92.23909
55733,219.398,136.3339172,2.03305555555556,Esko,MN,46.708371,-92.36434
55734,289.62,179.969868,2.69444444444444,Eveleth,MN,47.4211,-92.51331
55736,252.937,157.1750518,2.54694444444444,Floodwood,MN,46.929033,-92.90614
55744,294.432,182.9600448,3.08055555555556,Grand Rapids,MN,47.243062,-93.52599
55746,298.71,185.618394,3.06777777777778,Hibbing,MN,47.413817,-92.94228
55753,305.848,190.0539472,3.12444444444444,Keewatin,MN,47.39654,-93.07651
55760,222.186,138.0663804,2.29333333333333,Mcgregor,MN,46.67746,-93.28391
55763,319.804,198.7262056,3.07277777777778,Makinen,MN,47.310374,-92.20091
55767,181.394,112.7182316,1.71888888888889,Moose Lake,MN,46.44429,-92.7699
55768,322.806,200.5916484,3.09416666666667,Mountain Iron,MN,47.502878,-92.66548
55783,173.465,107.791151,1.6275,Sturgeon Lake,MN,46.379971,-92.82748
